10000,8
20000,17
30000,22
40000,29
50000,38
60000,46
70000,51
80000,59
90000,65
100000,72
110000,81
120000,88
130000,95
140000,104
150000,111
160000,117
170000,124
180000,131
190000,137
200000,147
210000,153
220000,161
230000,170
240000,177
250000,183
260000,190
270000,196
280000,211
290000,210
300000,219
310000,227
320000,246
330000,241
340000,247
350000,262
360000,264
370000,274
380000,276
390000,298
400000,289
410000,294
420000,302
430000,310
440000,317
450000,323
460000,329
470000,335
480000,344
490000,353
500000,367
100000,75,
10000,7,
