10000,2182
20000,9208
30000,21224
40000,37822
50000,63605
60000,99199
70000,138540
80000,189006
90000,242429
100000,304476
110000,357918
120000,420790
130000,493598
140000,562673
150000,631562
10000,2262,
10000,2379,
